# (C) PRH 2017
#  extension(m),landscape(J),tilted(J)
5.589515489082486961e-08,2.508611355905447604e-20,-4.220751255675444591e-19
5.618132306577882408e-08,2.971676231654047398e-20,-4.197338222096900965e-19
5.637014709660670669e-08,3.115679580815590663e-20,-4.198043809646976792e-19
5.650834656548261344e-08,3.278727090057500530e-20,-4.192795016232859405e-19
5.666744662068016437e-08,3.387551641062079306e-20,-4.194640565548204993e-19
5.682650261903148715e-08,3.541564748967617112e-20,-4.191963734625757116e-19
5.697601990673347999e-08,3.634633961599946976e-20,-4.194618196378682437e-19
5.715862721010974465e-08,3.839532684288250679e-20,-4.188736908379953759e-19
5.730809976753057496e-08,3.948573528560023115e-20,-4.189790628546443601e-19
5.744107308727960971e-08,4.089624345543583693e-20,-4.186323412428010309e-19
5.760062367071094559e-08,4.206032637644901107e-20,-4.187446629892385161e-19
5.774698581136863102e-08,4.305946367325840100e-20,-4.189164228176906508e-19
5.788970801230799467e-08,4.416139812028268457e-20,-4.189562659781812621e-19
5.804501938020966830e-08,4.544394332022752166e-20,-4.189162117214497939e-19
5.819252763474104176e-08,4.681669597632158824e-20,-4.187235251016067464e-19
5.834866900000412823e-08,4.812423096467433583e-20,-4.186651210353586791e-19
5.846229285826763304e-08,4.863830683986528957e-20,-4.190600360262757948e-19
5.862535328290185810e-08,5.007302152971154854e-20,-4.189298047335033586e-19
5.877936267483090692e-08,5.147713908910851102e-20,-4.187577623095387315e-19
5.893082154874339878e-08,5.304284515789286915e-20,-4.184037272320543092e-19
5.904842944713497639e-08,5.381332055305436937e-20,-4.185741150240254134e-19
5.920579790211520108e-08,5.528465111573749529e-20,-4.183617321011840801e-19
5.932545717770838611e-08,5.673177855538900120e-20,-4.178718788662780409e-19
5.949683396887700522e-08,5.884481300861677701e-20,-4.171298587423993405e-19
5.962774084290624854e-08,5.999494677508066025e-20,-4.170269799681692620e-19
5.977915104728119445e-08,6.120397205383082746e-20,-4.170292363244186630e-19
5.993749039457296738e-08,6.313376934043205006e-20,-4.163661538161516896e-19
6.007691926093003453e-08,6.533711156146126161e-20,-4.152782425259789956e-19
6.020637555993601381e-08,6.644612733515398761e-20,-4.152048771443341482e-19
6.031745871382757037e-08,6.866115825218762041e-20,-4.138785114584329853e-19
6.045201517140319741e-08,7.066776165836304416e-20,-4.129483597128625611e-19
6.061602100211693554e-08,7.253346633648559212e-20,-4.123947016804498680e-19
6.067718945251494304e-08,7.380099040176793688e-20,-4.116165252183516642e-19
6.072439817304518770e-08,7.579906459258361245e-20,-4.099961207917778778e-19
6.083853455348082504e-08,7.742254023976216604e-20,-4.092857361880844295e-19
6.092575811730999482e-08,7.811379766972446914e-20,-4.092922672687554544e-19
6.108698732164099094e-08,8.166012187957354762e-20,-4.070357766935544252e-19
6.110563240016820220e-08,8.101261279463478221e-20,-4.078324464067108121e-19
6.124681690814875670e-08,8.285956394468273070e-20,-4.071149713205073001e-19
6.130194005158869651e-08,8.428711304146502504e-20,-4.061284073712444904e-19
6.135362943681829114e-08,8.642157583956621179e-20,-4.044074596549801539e-19
6.140509155093694898e-08,8.700983362427214038e-20,-4.042308987832234027e-19
6.158624948777060266e-08,9.003658129047146513e-20,-4.026534146116933804e-19
6.169539811882215113e-08,9.307470250725737734e-20,-4.004884824433197777e-19
6.174819562136981499e-08,9.197263433716300223e-20,-4.020129306337955105e-19
6.193477856686897194e-08,9.564985799721294330e-20,-3.998283705377388095e-19
6.198676431623198396e-08,9.680843015514860454e-20,-3.990856843747072117e-19
6.200727035647289670e-08,9.504339079244393882e-20,-4.010147720593391716e-19
6.214216383052231357e-08,9.942534490267537031e-20,-3.977119657415030453e-19
6.225058377007304455e-08,1.010763841996726571e-19,-3.969282859609116914e-19
6.228563225901498035e-08,1.020128397168143053e-19,-3.962722183553054988e-19
6.256784352784282951e-08,1.083274990204533772e-19,-3.922152492022892441e-19
6.257688623049291336e-08,1.048090222271391439e-19,-3.958060676168041969e-19
6.270999923419156699e-08,1.100147359607152357e-19,-3.916652579128172893e-19
6.276207724398427151e-08,1.074401118864340431e-19,-3.946565060654401430e-19
6.280430018501926032e-08,1.119394515533507731e-19,-3.904949499268033785e-19
6.283697203924159364e-08,1.126594075521887536e-19,-3.900363687617440100e-19
6.290590008117823692e-08,1.146538441759202776e-19,-3.885933564735055903e-19
6.306085567946831179e-08,1.114974299180397216e-19,-3.929894155177067407e-19
